,match_id,p1_ace,p2_ace,p1_shot_winner,p2_shot_winner,p1_double_fault,p2_double_fault,p1_unforced_error,p2_unforced_error,p1_net_point_won,p2_net_point_won,p1_break_point_won,p2_break_point_won,p1_first_serve_in,p2_first_serve_in,p1_first_serve_won,p2_first_serve_won,p1_second_serve_in,p2_second_serve_in,p1_second_serve_won,p2_second_serve_won,p1_forced_error,p2_forced_error,match_winner
0,2011-frenchopen-1101,8.0,13.0,50.0,54.0,1.0,3.0,27.0,58.0,0.043333333333333335,0.14333333333333334,0.016666666666666666,0.0033333333333333335,0.3233333333333333,0.37333333333333335,0.2633333333333333,0.25333333333333335,0.12,0.16666666666666666,0.08666666666666667,0.10333333333333333,55.0,55.0,0
1,2011-frenchopen-1104,0.0,4.0,22.0,27.0,0.0,3.0,35.0,24.0,0.03783783783783784,0.10270270270270271,0.005405405405405406,0.02702702702702703,0.2594594594594595,0.3783783783783784,0.15135135135135136,0.2648648648648649,0.1891891891891892,0.15135135135135136,0.10810810810810811,0.10810810810810811,42.0,34.0,1
2,2011-frenchopen-1105,12.0,7.0,36.0,32.0,5.0,4.0,24.0,35.0,0.02912621359223301,0.07281553398058252,0.024271844660194174,0.0048543689320388345,0.25728155339805825,0.28640776699029125,0.18446601941747573,0.2087378640776699,0.2087378640776699,0.19902912621359223,0.1553398058252427,0.10194174757281553,39.0,39.0,0
3,2011-frenchopen-1106,10.0,4.0,40.0,23.0,0.0,1.0,34.0,20.0,0.10674157303370786,0.0449438202247191,0.02247191011235955,0.0056179775280898875,0.28651685393258425,0.33146067415730335,0.21910112359550563,0.2247191011235955,0.1853932584269663,0.1853932584269663,0.12921348314606743,0.0898876404494382,21.0,39.0,0
4,2011-frenchopen-1108,0.0,7.0,20.0,60.0,2.0,9.0,42.0,64.0,0.056179775280898875,0.08239700374531835,0.011235955056179775,0.02247191011235955,0.2808988764044944,0.32209737827715357,0.15355805243445692,0.24344569288389514,0.18352059925093633,0.16853932584269662,0.11610486891385768,0.0898876404494382,41.0,39.0,1
5,2011-frenchopen-1109,12.0,3.0,47.0,25.0,2.0,4.0,36.0,47.0,0.054474708171206226,0.04669260700389105,0.027237354085603113,0.007782101167315175,0.2490272373540856,0.3151750972762646,0.19455252918287938,0.20233463035019456,0.1828793774319066,0.22568093385214008,0.10116731517509728,0.10894941634241245,56.0,45.0,0
6,2011-frenchopen-1111,4.0,4.0,19.0,21.0,4.0,6.0,22.0,20.0,0.087248322147651,0.040268456375838924,0.03355704697986577,0.006711409395973154,0.28859060402684567,0.28187919463087246,0.24161073825503357,0.18791946308724833,0.18791946308724833,0.16778523489932887,0.12751677852348994,0.10738255033557047,21.0,45.0,0
7,2011-frenchopen-1112,1.0,4.0,24.0,36.0,6.0,3.0,47.0,32.0,0.08121827411167512,0.07106598984771574,0.01015228426395939,0.04060913705583756,0.4010152284263959,0.23857868020304568,0.20812182741116753,0.17766497461928935,0.08121827411167512,0.22842639593908629,0.03553299492385787,0.14720812182741116,34.0,23.0,1
8,2011-frenchopen-1113,8.0,1.0,36.0,32.0,1.0,3.0,26.0,35.0,0.06944444444444445,0.06481481481481481,0.023148148148148147,0.004629629629629629,0.2777777777777778,0.30092592592592593,0.2175925925925926,0.19907407407407407,0.18981481481481483,0.20833333333333334,0.10648148148148148,0.08796296296296297,36.0,50.0,0
9,2011-frenchopen-1116,14.0,11.0,30.0,56.0,4.0,5.0,24.0,45.0,0.028925619834710745,0.128099173553719,0.008264462809917356,0.024793388429752067,0.2603305785123967,0.2975206611570248,0.16942148760330578,0.2396694214876033,0.2396694214876033,0.16115702479338842,0.13636363636363635,0.10743801652892562,55.0,31.0,1
10,2011-frenchopen-1117,12.0,0.0,39.0,17.0,2.0,3.0,25.0,26.0,0.0949367088607595,0.08227848101265822,0.04430379746835443,0.012658227848101266,0.2848101265822785,0.2974683544303797,0.2468354430379747,0.14556962025316456,0.189873417721519,0.189873417721519,0.08860759493670886,0.10126582278481013,21.0,29.0,0
11,2011-frenchopen-1119,6.0,3.0,45.0,34.0,4.0,3.0,53.0,34.0,0.11877394636015326,0.08045977011494253,0.019157088122605363,0.019157088122605363,0.24521072796934865,0.3716475095785441,0.19157088122605365,0.24904214559386972,0.2222222222222222,0.13026819923371646,0.10344827586206896,0.06513409961685823,44.0,50.0,0
12,2011-frenchopen-1121,14.0,3.0,48.0,7.0,3.0,7.0,34.0,18.0,0.059880239520958084,0.029940119760479042,0.041916167664670656,0.005988023952095809,0.25149700598802394,0.3413173652694611,0.20958083832335328,0.2155688622754491,0.1377245508982036,0.20359281437125748,0.07784431137724551,0.0718562874251497,27.0,32.0,0
13,2011-frenchopen-1124,1.0,20.0,26.0,45.0,0.0,1.0,26.0,23.0,0.12,0.06285714285714286,0.005714285714285714,0.02857142857142857,0.3314285714285714,0.3028571428571429,0.2,0.26285714285714284,0.17142857142857143,0.18285714285714286,0.08571428571428572,0.08571428571428572,28.0,26.0,1
14,2011-frenchopen-1125,18.0,5.0,69.0,75.0,6.0,10.0,23.0,58.0,0.051515151515151514,0.19090909090909092,0.02727272727272727,0.01818181818181818,0.2636363636363636,0.3181818181818182,0.20303030303030303,0.19696969696969696,0.18484848484848485,0.18181818181818182,0.1,0.10909090909090909,57.0,47.0,1
15,2011-frenchopen-1129,22.0,9.0,64.0,45.0,3.0,6.0,33.0,36.0,0.0683453237410072,0.0683453237410072,0.017985611510791366,0.007194244604316547,0.28776978417266186,0.39928057553956836,0.2302158273381295,0.26618705035971224,0.14388489208633093,0.13309352517985612,0.08992805755395683,0.07553956834532374,51.0,48.0,0
16,2011-frenchopen-1131,8.0,13.0,50.0,58.0,2.0,10.0,28.0,47.0,0.05144694533762058,0.06752411575562701,0.012861736334405145,0.01607717041800643,0.2861736334405145,0.3279742765273312,0.2057877813504823,0.24758842443729903,0.15434083601286175,0.18971061093247588,0.07395498392282958,0.09003215434083602,71.0,56.0,1
17,2011-frenchopen-1132,2.0,6.0,29.0,28.0,3.0,2.0,34.0,15.0,0.052941176470588235,0.029411764705882353,0.0058823529411764705,0.029411764705882353,0.3235294117647059,0.2823529411764706,0.2,0.20588235294117646,0.1588235294117647,0.2,0.07647058823529412,0.13529411764705881,34.0,29.0,1
18,2011-frenchopen-1133,4.0,3.0,29.0,18.0,0.0,2.0,16.0,27.0,0.11194029850746269,0.05970149253731343,0.03731343283582089,0.0,0.31343283582089554,0.34328358208955223,0.27611940298507465,0.20149253731343283,0.1417910447761194,0.1791044776119403,0.11194029850746269,0.09701492537313433,15.0,28.0,0
19,2011-frenchopen-1134,7.0,0.0,30.0,27.0,3.0,6.0,32.0,44.0,0.08292682926829269,0.08780487804878048,0.03902439024390244,0.00975609756097561,0.3073170731707317,0.2975609756097561,0.2146341463414634,0.15121951219512195,0.17073170731707318,0.17560975609756097,0.1024390243902439,0.0975609756097561,28.0,43.0,0
20,2011-frenchopen-1135,1.0,0.0,33.0,31.0,5.0,6.0,40.0,53.0,0.02702702702702703,0.08108108108108109,0.036036036036036036,0.013513513513513514,0.31981981981981983,0.32432432432432434,0.2072072072072072,0.17567567567567569,0.13513513513513514,0.16666666666666666,0.07207207207207207,0.06756756756756757,27.0,37.0,0
21,2011-frenchopen-1136,0.0,13.0,31.0,49.0,2.0,1.0,35.0,34.0,0.04838709677419355,0.06854838709677419,0.016129032258064516,0.03225806451612903,0.27419354838709675,0.3064516129032258,0.1693548387096774,0.22983870967741934,0.20967741935483872,0.1935483870967742,0.10483870967741936,0.09274193548387097,50.0,48.0,1
